dimension,segment,rows,mae,rmse,r2,smape,mean_error
month,2025-09,4670,128.97926957519957,623.5775476333774,0.8324292703181724,4.352223917506106,-109.93869362402545
month,2025-10,4853,130.02455209621417,656.0269884607914,0.8158039112357447,4.6956828908648784,-99.63021718195908
distance_band,Short,550,14.859765026634111,102.61491087978546,0.6195979671692132,2.5870582654957466,-7.038349303683206
distance_band,Medium,3356,56.58204535431735,262.97903766664916,0.5780966540429471,4.045616138498712,-40.677785674766056
distance_band,Long,3157,147.08874142291108,634.15819912478,0.3217135808785019,5.261531177484738,-123.13274435287433
distance_band,Very Long,2460,232.08169455009804,987.1168223345842,0.3446892801644489,4.675776841454113,-190.16395465230946
equipment,Dry Van,5360,121.46097698465275,659.9035402804014,0.799163923903551,4.418018658767608,-101.07237098476095
equipment,Flatbed,1770,131.70887693733295,516.9867912521323,0.8837334016483869,4.722463332096339,-98.24295279892674
equipment,Reefer,2393,145.92009670801968,677.1619662543602,0.8260018047492661,4.627536420942697,-117.54333818463317
target_band,Low,2381,49.8920899414564,251.06704502009586,0.12066049793586797,4.630496591552365,22.26363213121195
target_band,Medium,4761,78.36714364410797,164.8246494686872,0.9155239413972429,3.6938459944449775,-67.85860943304033
target_band,High,2381,311.3999593443526,1233.8990221293361,0.08042941448900554,6.090475262529212,-305.27257950523176
route_status,Common (>=10),5900,134.56821593806418,662.6664648044026,0.8154908689589255,4.760693238290896,-107.72063683137206
route_status,Rare (<10),3602,121.59452909693394,603.8737781962619,0.8376102203516029,4.154569982296935,-99.93365172286967
route_status,Unseen,21,66.97011416068251,84.69441732293112,0.996453146957246,2.8658848557581154,-66.97011416068251
city_status,Seen cities,9523,129.511954241217,640.3195644495423,0.8239424448912736,4.527253466777357,-104.68540829657105
